movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
9416,˜˜˜˜˜,6.459,114,449.0,1984,6.3,10880.0,"[˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜]",[˜˜˜],,82.0,Tightrope
94161,˜˜˜˜˜˜˜˜˜ (˜˜˜˜˜˜ 1992 ˜ 1997),6.918,44,538.0,1992,6.0,2843.0,"[˜˜˜˜˜˜, ˜˜˜˜˜]",[˜˜˜],,,Renegade
94164,˜˜˜ ˜ ˜˜˜˜˜˜: ˜˜˜˜˜ ˜˜ ˜˜˜˜ (˜˜˜˜˜),6.075,75,385.0,2005,5.9,754.0,"[˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜]",[˜˜˜],,,Tom and Jerry Blast Off to Mars!
94165,˜˜˜˜˜˜: ˜˜˜˜˜˜ ˜˜˜˜˜˜˜˜˜˜˜˜ (˜˜˜˜˜˜ 2000 ˜ 2001),6.767,43,126.0,2000,7.2,498.0,"[˜˜˜˜˜˜, ˜˜˜˜˜]",[˜˜˜],,,The Fugitive
94167,˜˜˜˜˜˜˜˜˜˜,7.695,123,160.0,2004,4.8,250.0,"[˜˜˜˜˜˜, ˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜]",[˜˜˜˜˜],INR 6˜000˜000,,Madhoshi
9417,˜˜˜˜˜˜˜˜˜˜˜ ˜˜˜˜˜˜ ˜˜˜˜˜˜ ˜ ˜˜˜˜˜˜˜ ˜˜˜˜˜˜˜˜˜,5.849,103,276.0,1984,6.4,17126.0,"[˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜˜˜]",[˜˜˜],,72.0,The Adventures of Buckaroo Banzai Across the 8th Dimension
9418,˜˜˜˜˜,7.1,100,4501.0,1983,6.6,16644.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜]","[˜˜˜˜˜˜˜˜˜˜˜˜˜˜, ˜˜˜]",,46.0,The Hunger
94183,˜˜˜ ˜˜˜˜˜˜˜ ˜˜˜˜˜˜˜˜˜ ˜˜˜˜˜˜˜ (˜˜˜˜-˜˜˜˜˜˜),6.882,208,630.0,2004,5.3,43.0,[˜˜˜˜˜˜˜],[˜˜˜˜˜˜],,,
94190,˜˜˜˜˜˜˜ ˜˜˜˜˜˜˜ (˜˜),7.054,95,149.0,2001,6.8,1657.0,"[˜˜˜˜˜˜˜, ˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]","[˜˜˜, ˜˜˜˜˜˜˜]",,,In the Time of the Butterflies
94192,˜˜˜,7.492,92,179.0,1999,7.5,3379.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜˜˜],,86.0,Xizao
94195,˜˜˜˜˜˜˜ ˜˜˜˜˜˜ ˜˜˜ (˜˜),7.29,172,163.0,2004,7.3,720.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜]","[˜˜˜˜˜˜˜˜˜, ˜˜˜]",,,The Mystery of Natalie Wood
94196,˜˜˜˜˜˜˜˜ (˜˜˜˜-˜˜˜˜˜˜),7.494,210,449.0,1980,7.4,70.0,[˜˜˜˜˜],[˜˜˜˜],,,
94197,"˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜ ˜˜˜˜˜",6.081,104,590.0,2004,6.4,21.0,[˜˜˜˜˜˜˜],[˜˜˜˜˜˜],,,
942,˜˜˜˜˜˜˜˜˜˜˜ ˜ ˜˜˜˜˜˜,7.081,85,471.0,1954,7.4,5084.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜]","[˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",,95.0,Viaggio in Italia
94200,˜˜˜˜˜: ˜ ˜˜˜˜˜ ˜˜˜ ˜˜˜˜˜˜˜˜˜ (˜˜˜˜˜),6.851,68,312.0,2004,6.7,1919.0,"[˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜]",[˜˜˜],,,Mickey's Twice Upon a Christmas
94202,˜˜˜˜˜˜ (˜˜),7.559,99,193.0,2001,8.2,7105.0,[˜˜˜˜˜],[˜˜˜],,80.0,Wit
94204,˜˜˜˜˜ ˜˜˜˜˜˜ ˜ ˜˜˜˜˜˜,6.293,92,140.0,1966,6.7,1149.0,[˜˜˜˜˜˜˜],[˜˜˜˜˜˜],,,Le colt cantarono la morte e fu... tempo di massacro
